No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
40,Jeremy Evans\evansje01,SF,6/9,200,October 24 1987,us,4,Western Kentucky University
11,Dante Exum\exumda01,PG,6/6,190,July 13 1995,au,R,
15,Derrick Favors\favorde01,PF,6/10,265,July 15 1991,us,4,Georgia Institute of Technology
27,Rudy Gobert\goberru01,C,7/1,245,June 26 1992,fr,1,
20,Gordon Hayward\haywago01,SF,6/8,226,March 23 1990,us,4,Butler University
5,Rodney Hood\hoodro01,SG,6/8,206,October 20 1992,us,R,Mississippi State University Duke University
2,Joe Ingles\inglejo01,SF,6/8,226,October 2 1987,au,R,
17,Grant Jerrett\jerregr01,PF,6/10,235,July 8 1993,us,R,University of Arizona
23,Chris Johnson\johnsch04,SF,6/6,206,April 29 1990,us,2,University of Dayton
0,Enes Kanter\kanteen01,C,6/11,245,May 20 1992,ch,3,
13,Elijah Millsap\millsel01,SG,6/6,225,August 12 1987,us,R,University of Louisiana at Lafayette University of Alabama at Birmingham
23,Toure' Murry\murryto01,PG,6/5,195,November 8 1989,us,1,Wichita State University
16,Steve Novak\novakst01,SF,6/10,225,June 13 1983,us,8,Marquette University
25,Elliot Williams\williel01,SG,6/5,190,June 20 1989,us,2,Duke University University of Memphis
10,Arron Afflalo\afflaar01,SG,6/5,210,October 15 1985,us,7,University of California Los Angeles
0,Darrell Arthur\arthuda01,PF,6/9,235,March 25 1988,us,5,University of Kansas
5,Will Barton\bartowi01,SG,6/6,175,January 6 1991,us,2,University of Memphis
21,Wilson Chandler\chandwi01,SF,6/8,225,May 10 1987,us,7,DePaul University
20,Ian Clark\clarkia01,SG,6/3,175,March 7 1991,us,1,Belmont University
35,Kenneth Faried\farieke01,PF,6/8,228,November 19 1989,us,3,Morehead State University
4,Randy Foye\foyera01,SG,6/4,213,September 24 1983,us,8,Villanova University
22,Jamaal Franklin\frankja01,SG,6/5,191,July 21 1991,us,1,San Diego State University
8,Danilo Gallinari\gallida01,SF,6/10,225,August 8 1988,it,5,
1,Alonzo Gee\geeal01,SF,6/6,225,May 29 1987,us,5,University of Alabama
11,Erick Green\greener01,PG,6/4,185,May 9 1991,us,R,Virginia Polytechnic Institute and State University
14,Gary Harris\harriga01,SG,6/4,210,September 14 1994,us,R,Michigan State University
7,J.J. Hickson\hicksjj01,C,6/9,242,September 4 1988,us,6,North Carolina State University
77,Joffrey Lauvergne\lauvejo01,C,6/11,220,September 30 1991,fr,R,
3,Ty Lawson\lawsoty01,PG,5/11,195,November 3 1987,us,5,University of North Carolina
34,JaVale McGee\mcgeeja01,C,7/1,270,January 19 1988,us,6,University of Nevada Reno
25,Timofey Mozgov\mozgoti01,C,7/1,275,July 16 1986,ru,4,
28,Jameer Nelson\nelsoja01,PG,6/1,190,February 9 1982,us,10,Saint Joseph's University
23,Jusuf Nurkic\nurkiju01,C,7/1,280,August 23 1994,ba,R,
5,Nate Robinson\robinna01,PG,5/9,180,May 31 1984,us,9,University of Washington
12,Jeff Adrien\adrieje01,PF,6/7,245,February 10 1986,us,4,University of Connecticut
24,Anthony Bennett\bennean01,PF,6/8,245,March 14 1993,ca,1,University of Nevada Las Vegas
13,Corey Brewer\breweco01,SF,6/9,186,March 5 1986,us,7,University of Florida
7,Lorenzo Brown\brownlo01,PG,6/5,189,August 26 1990,us,1,North Carolina State University
10,Chase Budinger\budinch01,SF,6/7,209,May 22 1988,us,5,University of Arizona
30,Troy Daniels\danietr01,SG,6/4,205,July 15 1991,us,1,Virginia Commonwealth University
5,Gorgui Dieng\dienggo01,C,6/11,241,January 18 1990,sn,1,University of Louisville
21,Kevin Garnett\garneke01,PF,6/11,240,May 19 1976,us,19,
41,Justin Hamilton\hamilju01,C,7/1,260,April 1 1990,us,1,Iowa State University Louisiana State University
4,Robbie Hummel\hummero01,SF,6/8,215,March 8 1989,us,1,Purdue University
1,Sean Kilpatrick\kilpase01,SG,6/4,210,January 6 1990,us,R,University of Cincinnati
8,Zach LaVine\lavinza01,PG,6/5,189,March 10 1995,us,R,University of California Los Angeles
23,Kevin Martin\martike02,SG,6/7,199,February 1 1983,us,10,Western Carolina University
15,Shabazz Muhammad\muhamsh01,SG,6/6,223,November 13 1992,us,1,University of California Los Angeles
12,Gary Neal\nealga01,SG,6/4,210,October 3 1984,us,4,La Salle University Towson University
50,Arinze Onuaku\onuakar01,C,6/9,255,July 13 1987,us,1,Syracuse University
3,Adreian Payne\paynead01,PF,6/10,237,February 19 1991,us,R,Michigan State University
14,Nikola Pekovic\pekovni01,C,6/11,307,January 3 1986,me,4,
13,Miroslav Raduljica\radulmi01,C,7/1,250,January 5 1988,rs,1,
1,Glenn Robinson\robingl02,SG,6/6,222,January 8 1994,us,R,University of Michigan
9,Ricky Rubio\rubiori01,PG,6/4,194,October 21 1990,es,3,
32,Ronny Turiaf\turiaro01,C,6/10,249,January 13 1983,mq,9,Gonzaga University
22,Andrew Wiggins\wiggian01,SF,6/8,199,February 23 1995,ca,R,University of Kansas
25,Mo Williams\willima01,PG,6/1,198,December 19 1982,us,11,University of Alabama
33,Thaddeus Young\youngth01,PF,6/8,221,June 21 1988,us,7,Georgia Institute of Technology
19,Leandro Barbosa\barbole01,SG,6/3,194,November 28 1982,br,11,
40,Harrison Barnes\barneha02,SF,6/8,210,May 30 1992,us,2,University of North Carolina
12,Andrew Bogut\bogutan01,C,7/1,260,November 28 1984,au,9,University of Utah
30,Stephen Curry\curryst01,PG,6/3,190,March 14 1988,us,5,Davidson College
31,Festus Ezeli\ezelife01,C,6/11,255,October 21 1989,ng,1,Vanderbilt University
23,Draymond Green\greendr01,PF,6/7,230,March 4 1990,us,2,Michigan State University
7,Justin Holiday\holidju01,SG,6/6,185,April 5 1989,us,1,University of Washington
9,Andre Iguodala\iguodan01,SF,6/6,215,January 28 1984,us,10,University of Arizona
1,Ognjen Kuzmic\kuzmiog01,C,7/1,251,May 16 1990,ba,1,
10,David Lee\leeda02,PF,6/9,245,April 29 1983,us,9,University of Florida
34,Shaun Livingston\livinsh01,PG,6/7,192,September 11 1985,us,9,
20,James Michael McAdoo\mcadoja01,PF,6/9,230,January 4 1993,us,R,University of North Carolina
4,Brandon Rush\rushbr01,SG,6/6,220,July 7 1985,us,6,University of Kansas
5,Marreese Speights\speigma01,C,6/10,255,August 4 1987,us,6,University of Florida
11,Klay Thompson\thompkl01,SG,6/7,215,February 8 1990,us,3,Washington State University
22,Matt Barnes\barnema02,SF,6/7,226,March 9 1980,us,11,University of California Los Angeles
25,Reggie Bullock\bullore01,SF,6/7,205,March 16 1991,us,1,University of North Carolina
11,Jamal Crawford\crawfja01,SG,6/5,200,March 20 1980,us,14,University of Michigan
9,Jared Cunningham\cunnija01,SG,6/4,195,May 22 1991,us,2,Oregon State University
0,Glen Davis\davisgl01,PF,6/9,289,January 1 1986,us,7,Louisiana State University
14,Chris Douglas-Roberts\douglch01,SG,6/7,200,January 8 1987,us,5,University of Memphis
1,Jordan Farmar\farmajo01,PG,6/2,180,November 30 1986,us,7,University of California Los Angeles
32,Blake Griffin\griffbl01,PF,6/10,251,March 16 1989,us,4,University of Oklahoma
1,Jordan Hamilton\hamiljo02,SF,6/7,220,October 6 1990,us,3,University of Texas at Austin
10,Spencer Hawes\hawessp01,PF,7/1,245,April 28 1988,us,7,University of Washington
14,Lester Hudson\hudsole01,SG,6/3,190,August 7 1984,us,3,University of Tennessee at Martin
31,Dahntay Jones\jonesda02,SF,6/6,225,December 27 1980,us,10,Rutgers University Duke University
6,DeAndre Jordan\jordade01,C,6/11,265,July 21 1988,us,6,Texas A&M University
3,Chris Paul\paulch01,PG,6/1,175,May 6 1985,us,9,Wake Forest University
4,J.J. Redick\redicjj01,SG,6/4,190,June 24 1984,us,8,Duke University
25,Austin Rivers\riverau01,PG,6/4,200,August 1 1992,us,2,Duke University
8,Nate Robinson\robinna01,PG,5/9,180,May 31 1984,us,9,University of Washington
15,Hedo Turkoglu\turkohe01,SF,6/10,220,March 19 1979,tr,14,
13,Ekpe Udoh\udohek01,PF,6/10,240,May 20 1987,us,4,University of Michigan Baylor University
30,C.J. Wilcox\wilcocj01,SG,6/5,195,December 30 1990,us,R,University of Washington
30,Earl Barron\barroea01,C,7/1,250,August 14 1981,us,7,University of Memphis
2,Eric Bledsoe\bledser01,PG,6/1,205,December 9 1989,us,4,University of Kentucky
25,Reggie Bullock\bullore01,SF,6/7,205,March 16 1991,us,1,University of North Carolina
10,Seth Curry\curryse01,PG,6/2,185,August 23 1990,us,1,Liberty University Duke University
1,Goran Dragic\dragigo01,SG,6/3,190,May 6 1986,si,6,
10,Zoran Dragic\dragizo01,SG,6/5,200,June 22 1989,si,R,
4,Tyler Ennis\ennisty01,PG,6/3,194,August 24 1994,ca,R,Syracuse University
20,Archie Goodwin\goodwar01,SG,6/5,200,August 17 1994,us,1,University of Kentucky
14,Gerald Green\greenge01,SG,6/7,205,January 26 1986,us,7,
3,Brandon Knight\knighbr03,SG,6/3,189,December 2 1991,us,3,University of Kentucky
21,Alex Len\lenal01,C,7/1,260,June 16 1993,ua,1,University of Maryland
8,Jerel McNeal\mcneaje01,PG,6/3,200,June 1 1987,us,R,Marquette University
15,Marcus Morris\morrima03,PF,6/9,235,September 2 1989,us,3,University of Kansas
11,Markieff Morris\morrima02,PF,6/10,245,September 2 1989,us,3,University of Kansas
22,Miles Plumlee\plumlmi01,C,6/11,249,September 1 1988,us,2,Duke University
1,A.J. Price\priceaj01,PG,6/2,181,October 7 1986,us,5,University of Connecticut
43,Shavlik Randolph\randosh01,PF,6/10,240,November 24 1983,us,7,Duke University
3,Isaiah Thomas\thomais02,PG,5/9,185,February 7 1989,us,3,University of Washington
23,Marcus Thornton\thornma01,SG,6/4,205,June 5 1987,us,5,Louisiana State University
40,Anthony Tolliver\tollian01,PF,6/8,240,June 1 1985,us,6,Creighton University
17,P.J. Tucker\tuckepj01,SF,6/6,245,May 5 1985,us,3,University of Texas at Austin
12,T.J. Warren\warretj01,SF,6/8,230,September 5 1993,us,R,North Carolina State University
32,Brandan Wright\wrighbr03,PF,6/10,210,October 5 1987,us,6,University of North Carolina
32,Sim Bhullar\bhullsi01,C,7/5,360,December 2 1992,ca,R,New Mexico State University
18,Omri Casspi\casspom01,SF,6/9,225,June 22 1988,il,5,
7,Darren Collison\collida01,PG,6/1,175,August 23 1987,us,5,University of California Los Angeles
15,DeMarcus Cousins\couside01,C,6/11,270,August 13 1990,us,4,University of Kentucky
30,Reggie Evans\evansre01,PF,6/8,245,May 18 1980,us,12,University of Iowa
8,Rudy Gay\gayru01,SF,6/8,230,August 17 1986,us,8,University of Connecticut
5,Ryan Hollins\holliry01,C,7/1,240,October 10 1984,us,8,University of California Los Angeles
24,Carl Landry\landrca01,PF,6/9,248,September 19 1983,us,7,Purdue University
3,Ray McCallum\mccalra01,PG,6/3,190,June 12 1991,us,1,University of Detroit Mercy
23,Ben McLemore\mclembe01,SG,6/5,195,February 11 1993,us,1,University of Kansas
22,Andre Miller\millean02,PG,6/3,200,March 19 1976,us,15,University of Utah
20,Quincy Miller\millequ01,PF,6/9,210,November 18 1992,us,2,Baylor University
25,Eric Moreland\moreler01,PF,6/10,238,December 24 1991,us,R,Oregon State University
9,Ramon Sessions\sessira01,PG,6/3,190,April 11 1986,us,7,University of Nevada Reno
10,Nik Stauskas\stausni01,SG,6/6,205,October 7 1993,ca,R,University of Michigan
9,David Stockton\stockda01,PG,5/11,165,June 24 1991,us,R,Gonzaga University
34,Jason Thompson\thompja02,PF,6/11,250,July 21 1986,us,6,Rider University
31,David Wear\wearda01,PF,6/10,230,September 21 1990,us,R,University of North Carolina University of California Los Angeles
13,Derrick Williams\willide02,PF,6/8,240,May 25 1991,us,3,University of Arizona
28,Tarik Black\blackta01,C,6/9,250,November 22 1991,us,R,University of Memphis University of Kansas
12,Vander Blue\blueva01,SG,6/4,200,July 17 1992,us,1,Marquette University
5,Carlos Boozer\boozeca01,PF,6/9,258,November 20 1981,de,12,Duke University
15,Jabari Brown\brownja01,SG,6/4,215,December 18 1992,us,R,University of Oregon University of Missouri
24,Kobe Bryant\bryanko01,SG,6/6,212,August 23 1978,us,18,
20,Dwight Buycks\buyckdw01,PG,6/3,190,March 6 1989,us,1,Marquette University
6,Jordan Clarkson\clarkjo01,PG,6/5,194,June 7 1992,us,R,University of Tulsa University of Missouri
21,Ed Davis\davised01,PF,6/10,240,June 5 1989,us,4,University of North Carolina
2,Wayne Ellington\ellinwa01,SG,6/4,200,October 29 1987,us,5,University of North Carolina
7,Xavier Henry\henryxa01,SF,6/6,220,March 15 1991,be,4,University of Kansas
27,Jordan Hill\hilljo01,C,6/10,235,July 27 1987,us,5,University of Arizona
11,Wesley Johnson\johnswe01,SF,6/7,215,July 11 1987,us,4,Iowa State University Syracuse University
4,Ryan Kelly\kellyry01,PF,6/11,230,April 9 1991,us,1,Duke University
17,Jeremy Lin\linje01,PG,6/3,200,August 23 1988,us,4,Harvard University
9,Ronnie Price\pricero01,PG,6/2,190,June 21 1983,us,9,Nicholls State University Utah Valley State College
30,Julius Randle\randlju01,PF,6/9,250,November 29 1994,us,R,University of Kentucky
50,Robert Sacre\sacrero01,C,7/1,270,June 6 1989,us,2,Gonzaga University
0,Nick Young\youngni01,SG,6/7,210,June 1 1985,us,7,University of Southern California
1,Trevor Ariza\arizatr01,SF,6/8,215,June 30 1985,us,10,University of California Los Angeles
2,Patrick Beverley\beverpa01,PG,6/1,185,July 12 1988,us,2,University of Arkansas
10,Tarik Black\blackta01,C,6/9,250,November 22 1991,us,R,University of Memphis University of Kansas
33,Corey Brewer\breweco01,SF,6/9,186,March 5 1986,us,7,University of Florida
0,Isaiah Canaan\canaais01,PG,6/1,201,May 21 1991,us,1,Murray State University
15,Clint Capela\capelca01,C,6/10,240,May 18 1994,ch,R,
30,Troy Daniels\danietr01,SG,6/4,205,July 15 1991,us,1,Virginia Commonwealth University
8,Joey Dorsey\dorsejo01,PF,6/8,268,December 16 1983,us,3,University of Memphis
32,Francisco Garcia\garcifr01,SF,6/7,195,December 31 1981,do,9,University of Louisville
13,James Harden\hardeja01,SG,6/5,220,August 26 1989,us,5,Arizona State University
12,Dwight Howard\howardw01,C,6/11,265,December 8 1985,us,10,
3,Nick Johnson\johnsni01,SG,6/3,202,December 22 1992,us,R,University of Arizona
6,Terrence Jones\joneste01,PF,6/9,252,January 9 1992,us,2,University of Kentucky
32,K.J. McDaniels\mcdankj01,SG,6/6,205,February 9 1993,us,R,Clemson University
20,Donatas Motiejunas\motiedo01,PF,7/1,222,September 20 1990,lt,2,
16,Kostas Papanikolaou\papanko01,SF,6/8,225,July 31 1990,gr,R,
9,Pablo Prigioni\prigipa01,PG,6/3,185,May 17 1977,ar,2,
88,Alexey Shved\shvedal01,SG,6/6,190,December 16 1988,ru,2,
5,Josh Smith\smithjo03,PF,6/9,225,December 5 1985,us,10,
31,Jason Terry\terryja01,SG,6/2,185,September 15 1977,us,15,University of Arizona
1,Kyle Anderson\anderky01,SF,6/9,230,September 20 1993,us,R,University of California Los Angeles
11,Jeff Ayres\pendeje02,PF,6/9,240,April 29 1987,us,4,Arizona State University
16,Aron Baynes\baynear01,C,6/10,260,December 9 1986,nz,2,Washington State University
3,Marco Belinelli\belinma01,SG,6/5,210,March 25 1986,it,7,
15,Matt Bonner\bonnema01,PF,6/10,235,April 5 1980,us,10,University of Florida
23,Austin Daye\dayeau01,SF,6/11,220,June 5 1988,us,5,Gonzaga University
33,Boris Diaw\diawbo01,PF,6/8,250,April 16 1982,fr,11,
21,Tim Duncan\duncati01,C,6/11,250,April 25 1976,vi,17,Wake Forest University
20,Manu Ginobili\ginobma01,SG,6/6,205,July 28 1977,ar,12,
14,Danny Green\greenda02,SG,6/6,215,June 22 1987,us,5,University of North Carolina
41,JaMychal Green\greenja01,PF,6/9,227,June 21 1990,us,R,University of Alabama
5,Cory Joseph\josepco01,PG,6/3,193,August 20 1991,ca,3,University of Texas at Austin
2,Kawhi Leonard\leonaka01,SF,6/7,230,June 29 1991,us,3,San Diego State University
8,Patty Mills\millspa02,PG,6/1,185,August 11 1988,au,5,Saint Mary's College of California
9,Tony Parker\parketo01,PG,6/2,185,May 17 1982,be,13,
22,Tiago Splitter\splitti01,C,6/11,245,January 1 1985,br,4,
55,Reggie Williams\willire02,SF,6/6,205,September 14 1986,us,5,Virginia Military Institute
3,Jordan Adams\adamsjo01,SG,6/5,209,July 8 1994,us,R,University of California Los Angeles
9,Tony Allen\allento01,SG,6/4,213,January 11 1982,us,10,Butler County Community College Oklahoma State University
12,Nick Calathes\calatni01,SG,6/6,213,February 7 1989,us,1,University of Florida
15,Vince Carter\cartevi01,SG,6/6,220,January 26 1977,us,16,University of North Carolina
11,Mike Conley\conlemi01,PG,6/1,175,October 11 1987,us,7,Ohio State University
33,Marc Gasol\gasolma01,C,7/1,255,January 29 1985,es,6,
0,JaMychal Green\greenja01,PF,6/9,227,June 21 1990,us,R,University of Alabama
32,Jeff Green\greenje02,SF,6/9,235,August 28 1986,us,6,Georgetown University
41,Kosta Koufos\koufoko01,C,7/1,265,February 24 1989,us,6,Ohio State University
5,Courtney Lee\leeco01,SG,6/5,200,October 3 1985,us,6,Western Kentucky University
30,Jon Leuer\leuerjo01,PF,6/10,228,May 14 1989,us,3,University of Wisconsin
27,Kalin Lucas\lucaska01,PG,6/1,195,May 24 1989,us,R,Michigan State University
8,Quincy Pondexter\pondequ01,SG,6/7,220,March 10 1988,us,4,University of Washington
21,Tayshaun Prince\princta01,SF,6/9,212,February 28 1980,us,12,University of Kentucky
50,Zach Randolph\randoza01,PF,6/9,260,July 16 1981,us,13,Michigan State University
2,Russ Smith\smithru01,PG,6/1,165,April 19 1991,us,R,University of Louisville
1,Jarnell Stokes\stokeja01,PF,6/9,263,January 7 1994,us,R,University of Tennessee
13,Tyrus Thomas\thomaty01,PF,6/9,215,August 17 1986,us,7,Louisiana State University
19,Beno Udrih\udrihbe01,PG,6/3,205,July 5 1982,si,10,
7,Al-Farouq Aminu\aminual01,SF,6/9,220,September 21 1990,us,4,Wake Forest University
5,J.J. Barea\bareajo01,PG,6/1,185,June 26 1984,pr,8,Northeastern University
6,Tyson Chandler\chandty01,C,7/1,240,October 2 1982,us,13,
9,Jae Crowder\crowdja01,SF,6/6,235,July 6 1990,us,2,Marquette University
11,Monta Ellis\ellismo01,SG,6/3,185,October 26 1985,us,9,
2,Raymond Felton\feltora01,PG,6/1,205,June 26 1984,us,9,University of North Carolina
20,Devin Harris\harride01,PG,6/3,192,February 27 1983,us,10,University of Wisconsin
55,Bernard James\jamesbe01,C,6/10,240,February 7 1985,us,2,Florida State University
24,Richard Jefferson\jefferi01,SF,6/7,233,June 21 1980,us,13,University of Arizona
1,Ricky Ledo\ledori01,SG,6/7,195,September 10 1992,us,1,
14,Jameer Nelson\nelsoja01,PG,6/1,190,February 9 1982,us,10,Saint Joseph's University
41,Dirk Nowitzki\nowitdi01,PF,7/1,245,June 19 1978,de,16,
25,Chandler Parsons\parsoch01,SF,6/10,230,October 25 1988,us,3,University of Florida
8,Dwight Powell\poweldw01,PF,6/11,240,July 20 1991,ca,R,Stanford University
9,Rajon Rondo\rondora01,PG,6/1,186,February 22 1986,us,8,University of Kentucky
4,Greg Smith\smithgr02,PF,6/10,250,January 8 1991,us,3,California State University Fresno
1,Amar'e Stoudemire\stoudam01,PF,6/10,245,November 16 1982,us,12,
3,Charlie Villanueva\villach01,PF,6/11,232,August 24 1984,us,9,University of Connecticut
34,Brandan Wright\wrighbr03,PF,6/10,210,October 5 1987,us,6,University of North Carolina
42,Alexis Ajinca\ajincal01,C,7/2,248,May 6 1988,fr,4,
33,Ryan Anderson\anderry01,PF,6/10,240,May 6 1988,us,6,University of California
3,Omer Asik\asikom01,C,7/1,255,July 4 1986,tr,4,
8,Luke Babbitt\babbilu01,SF,6/9,225,June 20 1989,us,4,University of Nevada Reno
30,Norris Cole\coleno01,PG,6/2,175,October 13 1988,us,3,Cleveland State University
0,Dante Cunningham\cunnida01,PF,6/8,230,April 22 1987,us,5,Villanova University
23,Anthony Davis\davisan02,PF,6/10,253,March 11 1993,us,2,University of Kentucky
16,Toney Douglas\douglto01,SG,6/2,195,March 16 1986,us,5,Auburn University Florida State University
1,Tyreke Evans\evansty01,SG,6/6,220,September 19 1989,us,5,University of Memphis
32,Jimmer Fredette\fredeji01,PG,6/2,195,February 25 1989,us,3,Brigham Young University
10,Eric Gordon\gordoer01,SG,6/4,215,December 25 1988,us,6,Indiana University
11,Jrue Holiday\holidjr01,PG,6/4,205,June 12 1990,us,5,University of California Los Angeles
24,Gal Mekel\mekelga01,PG,6/3,191,March 4 1988,il,1,Wichita State University
2,Darius Miller\milleda01,SF,6/8,235,March 21 1990,us,2,University of Kentucky
20,Quincy Pondexter\pondequ01,SF,6/7,220,March 10 1988,us,4,University of Washington
25,Austin Rivers\riverau01,SG,6/4,200,August 1 1992,us,2,Duke University
15,John Salmons\salmojo01,SF,6/7,210,December 12 1979,us,12,University of Miami
9,Russ Smith\smithru01,PG,6/1,165,April 19 1991,us,R,University of Louisville
2,Elliot Williams\williel01,SG,6/5,190,June 20 1989,us,2,Duke University University of Memphis
5,Jeff Withey\witheje01,C,7/1,231,March 7 1990,us,1,University of Kansas
4,Nate Wolters\woltena01,PG,6/4,190,May 15 1991,us,1,South Dakota State University
