No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College
11,Meyers Leonard\leoname01,PF,7/1,245,February 27 1992,us,3,University of Illinois at Urbana-Champaign
0,Damian Lillard\lillada01,PG,6/3,195,July 15 1990,us,3,Weber State University
3,CJ McCollum\mccolcj01,SG,6/3,190,September 19 1991,us,2,Lehigh University
44,Luis Montero\montelu01,SG,6/7,185,April 6 1993,do,R,Westchester CC
24,Mason Plumlee\plumlma01,C,6/11,245,March 5 1990,us,2,Duke University
2,Brian Roberts\roberbr01,PG,6/1,173,December 3 1985,us,3,University of Dayton
21,Noah Vonleh\vonleno01,PF,6/10,240,August 24 1995,us,1,Indiana University
1,Justin Anderson\anderju01,SF,6/6,228,November 19 1993,us,R,University of Virginia
5,J.J. Barea\bareajo01,PG,6/1,185,June 26 1984,pr,9,Northeastern University
21,Jeremy Evans\evansje01,SF,6/9,200,October 24 1987,us,5,Western Kentucky University
2,Raymond Felton\feltora01,PG,6/1,205,June 26 1984,us,10,University of North Carolina
34,Devin Harris\harride01,PG,6/3,192,February 27 1983,us,11,University of Wisconsin
12,John Jenkins\jenkijo01,SG,6/4,215,March 6 1991,us,3,Vanderbilt University
42,David Lee\leeda02,PF,6/9,245,April 29 1983,us,10,University of Florida
23,Wesley Matthews\matthwe02,SF,6/5,220,October 14 1986,us,6,Marquette University
11,JaVale McGee\mcgeeja01,C,7/1,270,January 19 1988,us,7,University of Nevada Reno
50,Salah Mejri\mejrisa01,C,7/1,245,June 15 1986,tn,R,
41,Dirk Nowitzki\nowitdi01,PF,7/1,245,June 19 1978,de,17,
27,Zaza Pachulia\pachuza01,C,6/11,270,February 10 1984,ge,12,
25,Chandler Parsons\parsoch01,SF,6/10,230,October 25 1988,us,4,University of Florida
7,Dwight Powell\poweldw01,PF,6/11,240,July 20 1991,ca,1,Stanford University
3,Charlie Villanueva\villach01,PF,6/11,232,August 24 1984,us,10,University of Connecticut
8,Deron Williams\willide01,PG,6/3,200,June 26 1984,us,10,University of Illinois at Urbana-Champaign
3,Jordan Adams\adamsjo01,SG,6/5,209,July 8 1994,us,1,University of California Los Angeles
9,Tony Allen\allento01,SG,6/4,213,January 11 1982,us,11,Butler County Community College Oklahoma State University
7,Chris Andersen\anderch01,C,6/10,245,July 7 1978,us,13,Blinn College
22,Matt Barnes\barnema02,SF,6/7,226,March 9 1980,us,12,University of California Los Angeles
15,Vince Carter\cartevi01,SG,6/6,220,January 26 1977,us,17,University of North Carolina
6,Mario Chalmers\chalmma01,PG,6/2,190,May 19 1986,us,7,University of Kansas
11,Mike Conley\conlemi01,PG,6/1,175,October 11 1987,us,8,Ohio State University
8,Bryce Cotton\cottobr01,PG,6/1,165,August 11 1992,us,1,Providence College
8,James Ennis\ennisja01,SF,6/7,210,July 1 1990,us,1,California State University Long Beach
4,Jordan Farmar\farmajo01,PG,6/2,180,November 30 1986,us,8,University of California Los Angeles
33,Marc Gasol\gasolma01,C,7/1,255,January 29 1985,es,7,
0,JaMychal Green\greenja01,PF,6/9,227,June 21 1990,us,1,University of Alabama
32,Jeff Green\greenje02,SF,6/9,235,August 28 1986,us,7,Georgetown University
19,P.J. Hairston\hairspj02,SF,6/6,230,December 24 1992,us,1,University of North Carolina
20,Ryan Hollins\holliry01,C,7/1,240,October 10 1984,us,9,University of California Los Angeles
5,Courtney Lee\leeco01,SG,6/5,200,October 3 1985,us,7,Western Kentucky University
10,Jarell Martin\martija01,PF,6/10,239,May 24 1994,us,R,Louisiana State University
5,Ray McCallum\mccalra01,PG,6/3,190,June 12 1991,us,2,University of Detroit Mercy
14,Xavier Munford\munfoxa02,SG,6/2,180,June 1 1992,us,R,University of Rhode Island
50,Zach Randolph\randoza01,PF,6/9,260,July 16 1981,us,14,Michigan State University
2,Russ Smith\smithru01,PG,6/1,165,April 19 1991,us,1,University of Louisville
1,Lance Stephenson\stephla01,SF,6/5,230,September 5 1990,us,5,University of Cincinnati
35,Alex Stepheson\stephal01,PF,6/10,270,August 7 1987,us,R,University of North Carolina University of Southern California
1,Jarnell Stokes\stokeja01,C,6/9,263,January 7 1994,us,1,University of Tennessee
19,Beno Udrih\udrihbe01,PG,6/3,205,July 5 1982,si,11,
2,Briante Weber\weberbr01,PG,6/2,165,December 29 1992,us,R,Virginia Commonwealth University
25,Elliot Williams\williel01,PG,6/5,190,June 20 1989,us,3,Duke University University of Memphis
34,Brandan Wright\wrighbr03,PF,6/10,210,October 5 1987,us,7,University of North Carolina
1,Trevor Ariza\arizatr01,SF,6/8,215,June 30 1985,us,11,University of California Los Angeles
8,Michael Beasley\beaslmi01,PF,6/9,235,January 9 1989,us,7,Kansas State University
2,Patrick Beverley\beverpa01,PG,6/1,185,July 12 1988,us,3,University of Arkansas
33,Corey Brewer\breweco01,SF,6/9,186,March 5 1986,us,8,University of Florida
15,Clint Capela\capelca01,C,6/10,240,May 18 1994,ch,1,
7,Sam Dekker\dekkesa01,PF,6/9,230,May 6 1994,us,R,University of Wisconsin
0,Andrew Goudelock\goudean01,PG,6/3,200,December 7 1988,us,2,College of Charleston
13,James Harden\hardeja01,SG,6/5,220,August 26 1989,us,6,Arizona State University
35,Montrezl Harrell\harremo01,PF,6/8,240,January 26 1994,us,R,University of Louisville
44,Chuck Hayes\hayesch01,C,6/6,240,June 11 1983,us,10,University of Kentucky
12,Dwight Howard\howardw01,C,6/11,265,December 8 1985,us,11,
6,Terrence Jones\joneste01,PF,6/9,252,January 9 1992,us,3,University of Kentucky
3,Ty Lawson\lawsoty01,PG,5/11,195,November 3 1987,us,6,University of North Carolina
32,K.J. McDaniels\mcdankj01,SF,6/6,205,February 9 1993,us,1,Clemson University
20,Donatas Motiejunas\motiedo01,PF,7/1,222,September 20 1990,lt,3,
5,Josh Smith\smithjo03,PF,6/9,225,December 5 1985,us,11,
31,Jason Terry\terryja01,SG,6/2,185,September 15 1977,us,16,University of Arizona
10,Marcus Thornton\thornma01,SG,6/4,205,June 5 1987,us,6,Louisiana State University
33,Trevor Booker\booketr01,PF,6/8,228,November 25 1987,us,5,Clemson University
3,Trey Burke\burketr01,PG,6/1,191,November 12 1992,us,2,University of Michigan
10,Alec Burks\burksal01,SG,6/6,214,July 20 1991,us,4,University of Colorado
15,Derrick Favors\favorde01,PF,6/10,265,July 15 1991,us,5,Georgia Institute of Technology
27,Rudy Gobert\goberru01,C,7/1,245,June 26 1992,fr,2,
18,Erick Green\greener01,PG,6/4,185,May 9 1991,us,1,Virginia Polytechnic Institute and State University
20,Gordon Hayward\haywago01,SF,6/8,226,March 23 1990,us,5,Butler University
5,Rodney Hood\hoodro01,SG,6/8,206,October 20 1992,us,1,Mississippi State University Duke University
2,Joe Ingles\inglejo01,SF,6/8,226,October 2 1987,au,1,
23,Chris Johnson\johnsch04,SF,6/6,206,April 29 1990,us,3,University of Dayton
41,Trey Lyles\lylestr01,PF,6/10,234,November 5 1995,ca,R,University of Kentucky
8,Shelvin Mack\macksh01,PG,6/3,203,April 22 1990,us,4,Butler University
13,Elijah Millsap\millsel01,SG,6/6,225,August 12 1987,us,1,University of Louisiana at Lafayette University of Alabama at Birmingham
25,Raul Neto\netora01,PG,6/1,179,May 19 1992,br,R,
22,J.J. O'Brien\obriejj01,SF,6/7,228,April 8 1992,us,R,San Diego State University
21,Tibor Pleiss\pleisti01,C,7/3,256,November 2 1989,de,R,
24,Jeff Withey\witheje01,C,7/1,231,March 7 1990,us,2,University of Kansas
13,Quincy Acy\acyqu01,PF,6/7,240,October 6 1990,us,3,Baylor University
5,James Anderson\anderja01,SG,6/6,213,March 25 1989,us,4,Oklahoma State University
3,Marco Belinelli\belinma01,SG,6/5,210,March 25 1986,it,8,
31,Caron Butler\butleca01,SF,6/7,228,March 13 1980,us,13,University of Connecticut
18,Omri Casspi\casspom01,PF,6/9,225,June 22 1988,il,6,
0,Willie Cauley-Stein\caulewi01,C,7/1,240,August 18 1993,us,R,University of Kentucky
7,Darren Collison\collida01,PG,6/1,175,August 23 1987,us,6,University of California Los Angeles
15,DeMarcus Cousins\couside01,C,6/11,270,August 13 1990,us,5,University of Kentucky
30,Seth Curry\curryse01,PG,6/2,185,August 23 1990,us,2,Liberty University Duke University
26,Duje Dukan\dukandu01,SF,6/9,220,December 4 1991,hr,R,University of Wisconsin
8,Rudy Gay\gayru01,SF,6/8,230,August 17 1986,us,9,University of Connecticut
41,Kosta Koufos\koufoko01,C,7/1,265,February 24 1989,us,7,Ohio State University
23,Ben McLemore\mclembe01,SG,6/5,195,February 11 1993,us,2,University of Kansas
25,Eric Moreland\moreler01,PF,6/10,238,December 24 1991,us,1,Oregon State University
9,Rajon Rondo\rondora01,PG,6/1,186,February 22 1986,us,9,University of Kentucky
0,Darrell Arthur\arthuda01,PF,6/9,235,March 25 1988,us,6,University of Kansas
12,D.J. Augustin\augusdj01,PG,6/1,183,November 10 1987,us,7,University of Texas at Austin
5,Will Barton\bartowi01,SG,6/6,175,January 6 1991,us,3,University of Memphis
35,Kenneth Faried\farieke01,PF,6/8,228,November 19 1989,us,4,Morehead State University
4,Randy Foye\foyera01,SG,6/4,213,September 24 1983,us,9,Villanova University
8,Danilo Gallinari\gallida01,SF,6/10,225,August 8 1988,it,6,
11,Erick Green\greener01,PG,6/4,185,May 9 1991,us,1,Virginia Polytechnic Institute and State University
14,Gary Harris\harriga01,SG,6/4,210,September 14 1994,us,1,Michigan State University
7,J.J. Hickson\hicksjj01,C,6/9,242,September 4 1988,us,7,North Carolina State University
15,Nikola Jokic\jokicni01,C,6/10,250,February 19 1995,rs,R,
6,Sean Kilpatrick\kilpase01,SG,6/4,210,January 6 1990,us,1,University of Cincinnati
77,Joffrey Lauvergne\lauvejo01,C,6/11,220,September 30 1991,fr,1,
3,Mike Miller\millemi01,SF,6/8,218,February 19 1980,us,15,University of Florida
0,Emmanuel Mudiay\mudiaem01,PG,6/5,200,March 5 1996,cd,R,
1,Jameer Nelson\nelsoja01,PG,6/1,190,February 9 1982,us,11,Saint Joseph's University
23,Jusuf Nurkic\nurkiju01,C,7/1,280,August 23 1994,ba,1,
16,Kostas Papanikolaou\papanko01,SF,6/8,225,July 31 1990,gr,1,
9,JaKarr Sampson\sampsja02,SF,6/9,214,March 20 1993,us,1,St. John's University
6,Axel Toupane\toupaax01,SF,6/7,197,July 23 1992,fr,R,
42,Alexis Ajinca\ajincal01,C,7/2,248,May 6 1988,fr,5,
33,Ryan Anderson\anderry01,PF,6/10,240,May 6 1988,us,7,University of California
3,Omer Asik\asikom01,C,7/1,255,July 4 1986,tr,5,
8,Luke Babbitt\babbilu01,SF,6/9,225,June 20 1989,us,5,University of Nevada Reno
30,Norris Cole\coleno01,PG,6/2,175,October 13 1988,us,4,Cleveland State University
44,Dante Cunningham\cunnida01,SF,6/8,230,April 22 1987,us,6,Villanova University
23,Anthony Davis\davisan02,C,6/10,253,March 11 1993,us,3,University of Kentucky
31,Bryce Dejean-Jones\dejeabr01,SG,6/6,209,August 21 1992,us,R,University of Southern California University of Nevada Las Vegas Iowa State University
16,Toney Douglas\douglto01,PG,6/2,195,March 16 1986,us,6,Auburn University Florida State University
4,James Ennis\ennisja01,SF,6/7,210,July 1 1990,us,1,California State University Long Beach
1,Tyreke Evans\evansty01,SG,6/6,220,September 19 1989,us,6,University of Memphis
2,Tim Frazier\fraziti01,PG,6/1,170,November 1 1990,us,1,Pennsylvania State University
32,Jimmer Fredette\fredeji01,SG,6/2,195,February 25 1989,us,4,Brigham Young University
15,Alonzo Gee\geeal01,SF,6/6,225,May 29 1987,us,6,University of Alabama
10,Eric Gordon\gordoer01,SG,6/4,215,December 25 1988,us,7,Indiana University
25,Jordan Hamilton\hamiljo02,SF,6/7,220,October 6 1990,us,4,University of Texas at Austin
11,Jrue Holiday\holidjr01,PG,6/4,205,June 12 1990,us,6,University of California Los Angeles
0,Orlando Johnson\johnsor01,SG,6/5,220,March 11 1989,us,2,Loyola Marymount University University of California Santa Barbara
5,Kendrick Perkins\perkike01,C,6/10,270,November 10 1984,us,12,
2,Nate Robinson\robinna01,PG,5/9,180,May 31 1984,us,10,University of Washington
4,Ish Smith\smithis01,PG,6/1,175,July 5 1988,us,5,Wake Forest University
88,Nemanja Bjelica\bjeline01,PF,6/10,240,May 9 1988,rs,R,
5,Gorgui Dieng\dienggo01,C,6/11,241,January 18 1990,sn,2,University of Louisville
21,Kevin Garnett\garneke01,PF,6/11,240,May 19 1976,us,20,
1,Tyus Jones\jonesty01,PG,6/2,195,May 10 1996,us,R,Duke University
8,Zach LaVine\lavinza01,SG,6/5,189,March 10 1995,us,1,University of California Los Angeles
23,Kevin Martin\martike02,SG,6/7,199,February 1 1983,us,11,Western Carolina University
24,Andre Miller\millean02,PG,6/3,200,March 19 1976,us,16,University of Utah
15,Shabazz Muhammad\muhamsh01,SF,6/6,223,November 13 1992,us,2,University of California Los Angeles
33,Adreian Payne\paynead01,PF,6/10,237,February 19 1991,us,1,Michigan State University
14,Nikola Pekovic\pekovni01,C,6/11,307,January 3 1986,me,5,
12,Tayshaun Prince\princta01,SF,6/9,212,February 28 1980,us,13,University of Kentucky
9,Ricky Rubio\rubiori01,PG,6/4,194,October 21 1990,es,4,
10,Damjan Rudez\rudezda01,SF,6/10,228,June 17 1986,hr,1,
4,Greg Smith\smithgr02,PF,6/10,250,January 8 1991,us,4,California State University Fresno
32,Karl-Anthony Towns\townska01,C,7/1,244,November 15 1995,us,R,University of Kentucky
22,Andrew Wiggins\wiggian01,SF,6/8,199,February 23 1995,ca,1,University of Kansas
2,Eric Bledsoe\bledser01,PG,6/1,205,December 9 1989,us,5,University of Kentucky
1,Devin Booker\bookede01,SG,6/6,206,October 30 1996,us,R,University of Kentucky
41,Lorenzo Brown\brownlo01,PG,6/5,189,August 26 1990,us,2,North Carolina State University
10,Chase Budinger\budinch01,SF,6/7,209,May 22 1988,us,6,University of Arizona
4,Tyson Chandler\chandty01,C,7/1,240,October 2 1982,us,14,
8,Bryce Cotton\cottobr01,PG,6/1,165,August 11 1992,us,1,Providence College
20,Archie Goodwin\goodwar01,PG,6/5,200,August 17 1994,us,2,University of Kentucky
43,Kris Humphries\humphkr01,PF,6/9,235,February 6 1985,us,11,University of Minnesota
55,Cory Jefferson\jeffeco01,PF,6/9,218,December 26 1990,us,1,Baylor University
23,John Jenkins\jenkijo01,SG,6/4,215,March 6 1991,us,3,Vanderbilt University
0,Orlando Johnson\johnsor01,SG,6/5,220,March 11 1989,us,2,Loyola Marymount University University of California Santa Barbara
3,Brandon Knight\knighbr03,SG,6/3,189,December 2 1991,us,4,University of Kentucky
21,Alex Len\lenal01,C,7/1,260,June 16 1993,ua,2,University of Maryland
30,Jon Leuer\leuerjo01,PF,6/10,228,May 14 1989,us,4,University of Wisconsin
52,Jordan McRae\mcraejo01,PG,6/6,185,March 28 1991,us,R,University of Tennessee
11,Markieff Morris\morrima02,PF,6/10,245,September 2 1989,us,4,University of Kansas
25,Phil Pressey\pressph01,PG,5/11,175,February 17 1991,us,2,University of Missouri
14,Ronnie Price\pricero01,PG,6/2,190,June 21 1983,us,10,Nicholls State University Utah Valley State College
35,Mirza Teletovic\teletmi01,PF,6/9,242,September 18 1985,ba,3,
17,P.J. Tucker\tuckepj01,SF,6/6,245,May 5 1985,us,4,University of Texas at Austin
12,T.J. Warren\warretj01,SF,6/8,230,September 5 1993,us,1,North Carolina State University
10,Sonny Weems\weemsso01,SG,6/6,205,July 8 1986,us,3,University of Arkansas
15,Alan Williams\willial03,PF,6/8,260,January 28 1993,us,R,University of California Santa Barbara
2,Brandon Bass\bassbr01,PF,6/8,250,April 30 1985,us,10,Louisiana State University
28,Tarik Black\blackta01,C,6/9,250,November 22 1991,us,1,University of Memphis University of Kansas
3,Anthony Brown\brownan02,SF,6/7,210,October 10 1992,us,R,Stanford University
24,Kobe Bryant\bryanko01,SF,6/6,212,August 23 1978,us,19,
6,Jordan Clarkson\clarkjo01,SG,6/5,194,June 7 1992,us,1,University of Tulsa University of Missouri
17,Roy Hibbert\hibbero01,C,7/2,270,December 11 1986,us,7,Georgetown University
9,Marcelo Huertas\huertma01,PG,6/3,200,May 25 1983,br,R,
4,Ryan Kelly\kellyry01,PF,6/11,230,April 9 1991,us,2,Duke University
7,Larry Nance\nancela02,PF,6/9,230,January 1 1993,us,R,University of Wyoming
30,Julius Randle\randlju01,PF,6/9,250,November 29 1994,us,1,University of Kentucky
1,D'Angelo Russell\russeda01,PG,6/5,195,February 23 1996,us,R,Ohio State University
50,Robert Sacre\sacrero01,C,7/1,270,June 6 1989,us,3,Gonzaga University
23,Lou Williams\willilo02,SG,6/1,175,October 27 1986,us,10,
37,Metta World Peace\artesro01,SF,6/6,260,November 13 1979,us,15,St. John's University
0,Nick Young\youngni01,SG,6/7,210,June 1 1985,us,8,University of Southern California
